alpha,beta,train_perplexity,val_perplexity,n_iter,time
0.5,0.5,1.5827676601157474,2.00086373398951,336,0.08099913597106934
0.5,1.0,1.5908979611619734,1.969161977358581,139,0.03400087356567383
0.5,1.5,1.6172600214802666,2.076706694119154,101,0.024999141693115234
0.5,2.0,1.6454034069424108,2.076852569750176,123,0.028000593185424805
0.5,2.5,1.6619987565104366,2.2019977618409485,365,0.08500385284423828
0.5,3.0,1.6788516882259297,2.2030624429440193,153,0.03599739074707031
1.0,0.5,1.456832364472731,1.8234791184614374,248,0.06500077247619629
1.0,1.0,1.4673778053524484,1.9021778825809705,136,0.0299985408782959
1.0,1.5,1.4804457080468278,1.888276779285222,492,0.11600375175476074
1.0,2.0,1.5098277772317816,1.9730792076483656,159,0.03999614715576172
1.0,2.5,1.5253641455221796,2.025617679899099,188,0.040999412536621094
1.0,3.0,1.5424651796870128,1.9777925601446822,152,0.0410003662109375
1.5,0.5,1.4632045681574841,1.607942496080717,500,0.11899948120117188
1.5,1.0,1.4720705967615748,1.5838781796452983,130,0.032000064849853516
1.5,1.5,1.4861531393290568,1.5961862896252328,171,0.04399991035461426
1.5,2.0,1.4997463941676166,1.6100574577441231,216,0.05800151824951172
1.5,2.5,1.5142081554520441,1.622539304664682,209,0.04999804496765137
1.5,3.0,1.5279956547678775,1.6322421816647532,222,0.0540010929107666
2.0,0.5,1.475265575165617,1.5736582031958204,500,0.1119987964630127
2.0,1.0,1.4848708107683524,1.5817012823052932,143,0.031000137329101562
2.0,1.5,1.496792858316495,1.590478912919457,169,0.048999786376953125
2.0,2.0,1.5082276768407368,1.600809033546592,187,0.044359445571899414
2.0,2.5,1.519694399056364,1.611301495760412,206,0.0540006160736084
2.0,3.0,1.5313242392784092,1.621372882175953,227,0.05700349807739258
2.5,0.5,1.4945357100467043,1.5897609450017225,500,0.11400079727172852
2.5,1.0,1.4991041431349668,1.5859083677833452,162,0.04099535942077637
2.5,1.5,1.5086607162587449,1.5935457601824692,186,0.045001983642578125
2.5,2.0,1.5179096925633897,1.601893764282789,208,0.050998687744140625
2.5,2.5,1.5273761810566635,1.6105659157611045,228,0.05400514602661133
2.5,3.0,1.5371108280673123,1.6193299466891262,248,0.05899620056152344
3.0,0.5,1.511915185913951,1.6743466918551588,500,0.11700272560119629
3.0,1.0,1.514481889819338,1.594773541659525,180,0.04199695587158203
3.0,1.5,1.5220420369935774,1.6007217460715137,217,0.04900074005126953
3.0,2.0,1.5294514193764088,1.607127461870153,243,0.06099891662597656
3.0,2.5,1.5372216074653793,1.613999148613594,265,0.05800199508666992
3.0,3.0,1.5470526584948405,1.6238069730311735,191,0.042998313903808594
